sampleID	SequencingBatch	Sequencing run	fastq_fwd_file_name	fastq_rev_file_name	Site	Region	Latitude	Longitude	ApproximateShellLength	Age	CohortYear	TransplantationYear	TransplantationAge	YearsSpentAtTransplantationSite	AdditionalSiteInfo	AdditionalComments
TG49	Y2	HN00122531	PAL-Tg-4_1.fastq.gz	PAL-Tg-4_2.fastq.gz	Palawan	Palawan	9.914205334	118.877206	78	16	2002	2007	11	5	"Puerto Princesa, Palawan"	
TG50	Y2	HN00122531	SEM-Tg-10_1.fastq.gz	SEM-Tg-10_2.fastq.gz	Semirara	Antique	12.08708129	121.3460231	68	16	2002	2009	9	7	Antique - Semirara Island - west	most recent restock; largest cohort
TG51	Y2	HN00122531	SEM-Tg-7_1.fastq.gz	SEM-Tg-7_2.fastq.gz	Semirara	Antique	12.08708129	121.3460231	58	16	2002	2009	9	7	Antique - Semirara Island - west	most recent restock; largest cohort
TG52	Y2	HN00122531	SEM-Tg-9_1.fastq.gz	SEM-Tg-9_2.fastq.gz	Semirara	Antique	12.08708129	121.3460231	59	16	2002	2009	9	7	Antique - Semirara Island - west	most recent restock; largest cohort
TG53	Y2	HN00122531	SIL-Tg-2_1.fastq.gz	SIL-Tg-2_2.fastq.gz	Silaqui	Bolinao	16.44411667	119.9215333	47	9	2009	Origin	0	9		
TG54	Y2	HN00122531	SIL-Tg-3_1.fastq.gz	SIL-Tg-3_2.fastq.gz	Silaqui	Bolinao	16.44411667	119.9215333	52	9	2009	Origin	0	9		
TG55	Y2	HN00122531	SIL-Tg-5_1.fastq.gz	SIL-Tg-5_2.fastq.gz	Silaqui	Bolinao	16.44411667	119.9215333	44	9	2009	Origin	0	9		
TG56	Y3	HN00138609	Bohol_Tg_1_1.fastq.gz	Bohol_Tg_1_2.fastq.gz	Bohol	Bohol	9.6287333	123.8048167	67	14	2004	2013	5	9	Bohol Province	most recent restock; largest cohort
TG57	Y3	HN00138609	Bohol_Tg_2_1.fastq.gz	Bohol_Tg_2_2.fastq.gz	Bohol	Bohol	9.6287333	123.8048167	67	14	2004	2013	5	9	Bohol Province	most recent restock; largest cohort
TG58	Y3	HN00138609	Bohol_Tg_3_1.fastq.gz	Bohol_Tg_3_2.fastq.gz	Bohol	Bohol	9.6287333	123.8048167	67	14	2004	2013	5	9	Bohol Province	most recent restock; largest cohort
TG59	Y3	HN00138609	Camiguin_Tg_1_1.fastq.gz	Camiguin_Tg_1_2.fastq.gz	Camiguin	Camiguin	9.107413439	124.8032036	97	20	1998	2001	17	3	Camiguin	
TG60	Y3	HN00138609	Camiguin_Tg_2_1.fastq.gz	Camiguin_Tg_2_2.fastq.gz	Camiguin	Camiguin	9.107413439	124.8032036	89	20	1998	2001	17	3	Camiguin	
TG61	Y3	HN00138609	Camiguin_Tg_3_1.fastq.gz	Camiguin_Tg_3_2.fastq.gz	Camiguin	Camiguin	9.107413439	124.8032036	89	20	1998	2001	17	3	Camiguin	
TG62	Y3	HN00138609	Camiguin_Tg_r_2_1.fastq.gz	Camiguin_Tg_r_2_2.fastq.gz	Camiguin	Camiguin	9.107413439	124.8032036	36	3	2017 approx	2020	0	3	Camiguin	
TG63	Y3	HN00138609	Camiguin_Tg_r_4_1.fastq.gz	Camiguin_Tg_r_4_2.fastq.gz	Camiguin	Camiguin	9.107413439	124.8032036	36	3	2017 approx	2020	0	3	Camiguin	
TG64	Y3	HN00138609	Camiguin_Tg_r_5_1.fastq.gz	Camiguin_Tg_r_5_2.fastq.gz	Camiguin	Camiguin	9.107413439	124.8032036	33	3	2017 approx	2020	0	3	Camiguin	
TG65	Y3	HN00138609	Samar_Tg_1_1.fastq.gz	Samar_Tg_1_2.fastq.gz	Guiuan	Samar	11.0583	125.6537	82	17	2001	2002	16	1	Guiuan via UPV Tacloban	Pew
TG66	Y3	HN00138609	Samar_Tg_2_1.fastq.gz	Samar_Tg_2_2.fastq.gz	Guiuan	Samar	11.0583	125.6537	70	17	2001	2002	16	1	Guiuan via UPV Tacloban	Pew
